04.10.2016 10:00:02.314;	15163;	7
04.10.2016 10:00:02.319;	15164;	1
04.10.2016 10:00:02.319;	15164;	7
04.10.2016 10:00:02.331;	15168;	46
04.10.2016 10:00:02.335;	15169;	1
04.10.2016 10:00:02.351;	15169;	-2
04.10.2016 10:00:02.351;	15169;	-2
04.10.2016 10:00:02.360;	15172;	-1
04.10.2016 10:00:02.366;	15172;	-2
04.10.2016 10:00:02.366;	15171;	-3
04.10.2016 10:00:02.366;	15171;	-28
04.10.2016 10:00:02.370;	15172;	-4
04.10.2016 10:00:02.405;	15170;	1
04.10.2016 10:00:02.405;	15172;	2
04.10.2016 10:00:02.424;	15173;	3
04.10.2016 10:00:02.424;	15174;	21
04.10.2016 10:00:02.431;	15167;	-1
04.10.2016 10:00:02.444;	15170;	-14
04.10.2016 10:00:02.454;	15167;	-6
04.10.2016 10:00:02.465;	15169;	-1
04.10.2016 10:00:02.465;	15168;	-5
04.10.2016 10:00:02.477;	15167;	-12
04.10.2016 10:00:02.496;	15166;	-4
04.10.2016 10:00:02.496;	15165;	-4
04.10.2016 10:00:02.506;	15165;	-3
04.10.2016 10:00:02.506;	15165;	-1
04.10.2016 10:00:02.803;	15164;	-2
04.10.2016 10:00:02.841;	15170;	2
04.10.2016 10:00:02.841;	15170;	1
04.10.2016 10:00:02.841;	15171;	1
04.10.2016 10:00:02.841;	15171;	8
04.10.2016 10:00:02.841;	15174;	8
04.10.2016 10:00:02.981;	15173;	1
04.10.2016 10:00:02.986;	15172;	-3
04.10.2016 10:00:03.060;	15167;	-2
04.10.2016 10:00:03.064;	15172;	1
04.10.2016 10:00:03.118;	15166;	-6
04.10.2016 10:00:03.170;	15166;	-13
04.10.2016 10:00:03.170;	15165;	-2
04.10.2016 10:00:03.170;	15163;	-3
04.10.2016 10:00:03.170;	15162;	-2
04.10.2016 10:00:03.182;	15162;	-20
04.10.2016 10:00:03.280;	15165;	1
04.10.2016 10:00:03.362;	15161;	1
04.10.2016 10:00:03.363;	15162;	1
04.10.2016 10:00:03.373;	15166;	1
04.10.2016 10:00:03.381;	15161;	-4
04.10.2016 10:00:03.402;	15166;	-2
04.10.2016 10:00:03.402;	15166;	-1
04.10.2016 10:00:03.403;	15164;	3
04.10.2016 10:00:03.412;	15160;	-3
04.10.2016 10:00:03.412;	15160;	-3
04.10.2016 10:00:03.446;	15167;	2
04.10.2016 10:00:03.446;	15168;	3
04.10.2016 10:00:03.446;	15168;	2
04.10.2016 10:00:03.446;	15169;	3
04.10.2016 10:00:03.450;	15170;	1
04.10.2016 10:00:03.463;	15170;	-2
04.10.2016 10:00:03.463;	15166;	-2
04.10.2016 10:00:03.507;	15168;	-2
04.10.2016 10:00:03.527;	15165;	-2
04.10.2016 10:00:03.527;	15164;	-5
04.10.2016 10:00:03.527;	15164;	-8
04.10.2016 10:00:03.528;	15164;	-8
04.10.2016 10:00:03.570;	15164;	-12
04.10.2016 10:00:03.669;	15167;	2
04.10.2016 10:00:03.684;	15164;	-2
04.10.2016 10:00:03.684;	15163;	-3
04.10.2016 10:00:03.684;	15162;	-3
04.10.2016 10:00:03.695;	15162;	-8
04.10.2016 10:00:03.715;	15167;	2
04.10.2016 10:00:03.715;	15168;	1
04.10.2016 10:00:03.735;	15168;	2
04.10.2016 10:00:04.018;	15168;	6
04.10.2016 10:00:04.032;	15165;	-1
04.10.2016 10:00:04.032;	15164;	-2
04.10.2016 10:00:04.106;	15165;	3
04.10.2016 10:00:04.106;	15166;	2
04.10.2016 10:00:04.106;	15166;	10
04.10.2016 10:00:04.106;	15167;	10
